model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
tiny,audio.mp3,32.576,30.32,5.561305046081543,0.48148148148148145,0.6755401234567902,0.3244598765432099,0.4727272727272727
tiny,audio2.mp3,9.1306875,8.0906875,1.6739895343780518,0.6153846153846154,0.7307692307692308,0.2692307692307692,0.5333333333333333
base,audio.mp3,32.576,30.32,8.181114435195923,0.2962962962962963,0.47567175018155405,0.524328249818446,0.2962962962962963
base,audio2.mp3,9.1306875,8.0906875,2.410022497177124,0.46153846153846156,0.7100591715976332,0.28994082840236685,0.46153846153846156
small,audio.mp3,32.576,30.32,17.22904062271118,0.05555555555555555,0.10802469135802473,0.8919753086419753,0.05555555555555555
small,audio2.mp3,9.1306875,8.0906875,5.867656946182251,0.5384615384615384,0.6105769230769231,0.3894230769230769,0.4375
medium,audio.mp3,32.576,30.32,43.56878304481506,0.1111111111111111,0.09999999999999998,0.9,0.1
medium,audio2.mp3,9.1306875,8.0906875,15.045741319656372,0.15384615384615385,0.28402366863905326,0.7159763313609467,0.15384615384615385
