model,audio,duration,duration_after_vad,time,wer,wil,wip,mer
base,common_voice_it_21568320.mp3,6.696,3.008,0.5794923305511475,0.3333333333333333,0.5555555555555556,0.4444444444444444,0.3333333333333333
base,common_voice_it_20066508.mp3,3.96,3.272,0.5346806049346924,0.0,0.0,1.0,0.0
base,common_voice_it_24085875.mp3,6.3,6.028,0.707289457321167,0.0,0.0,1.0,0.0
base,common_voice_it_20060712.mp3,6.048,5.744,0.7391619682312012,0.21428571428571427,0.3351648351648352,0.6648351648351648,0.21428571428571427
base,common_voice_it_26860866.mp3,3.06,2.436,1.717982292175293,1.0,1.0,0.0,1.0
base,common_voice_it_20031325.mp3,5.064,5.064,0.7249925136566162,0.6,0.7714285714285715,0.22857142857142856,0.6
base,common_voice_it_24568622.mp3,4.716,4.636,2.706634044647217,1.75,1.0,0.0,1.0
base,common_voice_it_20272130.mp3,6.192,3.392,0.6091384887695312,0.75,0.8,0.2,0.6
base,common_voice_it_20295298.mp3,9.936,7.28,0.7508704662322998,0.15384615384615385,0.28402366863905326,0.7159763313609467,0.15384615384615385
base,common_voice_it_40183570.mp3,5.616,5.616,0.6787197589874268,0.08333333333333333,0.15972222222222232,0.8402777777777777,0.08333333333333333
base,common_voice_it_20284241.mp3,6.72,5.584,0.6475448608398438,0.36363636363636365,0.5545454545454546,0.44545454545454544,0.36363636363636365
base,common_voice_it_27265223.mp3,6.696,5.88,0.777864933013916,0.4166666666666667,0.5897435897435898,0.41025641025641024,0.38461538461538464
base,common_voice_it_20265660.mp3,6.984,6.264,0.6767592430114746,0.09090909090909091,0.17355371900826455,0.8264462809917354,0.09090909090909091
base,common_voice_it_18710523.mp3,4.224,4.016,1.2935960292816162,0.5,0.75,0.25,0.5
base,common_voice_it_35178368.mp3,4.752,3.68,0.5652122497558594,1.1666666666666667,1.0,0.0,1.0
base,common_voice_it_17971295.mp3,2.952,2.264,0.5661933422088623,0.0,0.0,1.0,0.0
base,common_voice_it_20090595.mp3,6.936,4.064,0.6633625030517578,0.08333333333333333,0.15972222222222232,0.8402777777777777,0.08333333333333333
base,common_voice_it_20242442.mp3,5.712,5.184,0.6923491954803467,0.2,0.3599999999999999,0.6400000000000001,0.2
base,common_voice_it_22725840.mp3,6.672,6.624,0.7819037437438965,0.8181818181818182,0.8881118881118881,0.1118881118881119,0.6923076923076923
